t_burn (days),nu_burn (degrees),Minimum Relative Velocity (km/s),Time at Minimum Relative Velocity (days),Delta-V at Minimum Relative Velocity (km/s)
40.0,0.0,nan,nan,nan
40.0,3.6363636363636362,nan,nan,nan
40.0,7.2727272727272725,nan,nan,nan
40.0,10.909090909090908,nan,nan,nan
40.0,14.545454545454545,nan,nan,nan
40.0,18.18181818181818,nan,nan,nan
40.0,21.818181818181817,nan,nan,nan
40.0,25.454545454545453,nan,nan,nan
40.0,29.09090909090909,nan,nan,nan
40.0,32.72727272727273,nan,nan,nan
40.0,36.36363636363636,nan,nan,nan
40.0,40.0,nan,nan,nan
40.0,43.63636363636363,nan,nan,nan
40.0,47.27272727272727,nan,nan,nan
40.0,50.90909090909091,nan,nan,nan
40.0,54.54545454545455,nan,nan,nan
40.0,58.18181818181818,nan,nan,nan
40.0,61.81818181818181,nan,nan,nan
40.0,65.45454545454545,nan,nan,nan
40.0,69.0909090909091,nan,nan,nan
40.0,72.72727272727272,nan,nan,nan
40.0,76.36363636363636,nan,nan,nan
40.0,80.0,nan,nan,nan
40.0,83.63636363636364,nan,nan,nan
40.0,87.27272727272727,nan,nan,nan
40.0,90.9090909090909,nan,nan,nan
40.0,94.54545454545455,nan,nan,nan
40.0,98.18181818181817,nan,nan,nan
40.0,101.81818181818181,nan,nan,nan
40.0,105.45454545454545,nan,nan,nan
40.0,109.0909090909091,nan,nan,nan
40.0,112.72727272727272,nan,nan,nan
40.0,116.36363636363636,nan,nan,nan
40.0,120.0,nan,nan,nan
40.0,123.63636363636363,nan,nan,nan
40.0,127.27272727272727,nan,nan,nan
40.0,130.9090909090909,nan,nan,nan
40.0,134.54545454545453,nan,nan,nan
40.0,138.1818181818182,nan,nan,nan
40.0,141.8181818181818,nan,nan,nan
40.0,145.45454545454544,nan,nan,nan
40.0,149.0909090909091,nan,nan,nan
40.0,152.72727272727272,nan,nan,nan
40.0,156.36363636363635,nan,nan,nan
40.0,160.0,nan,nan,nan
40.0,163.63636363636363,nan,nan,nan
40.0,167.27272727272728,nan,nan,nan
40.0,170.9090909090909,nan,nan,nan
40.0,174.54545454545453,nan,nan,nan
40.0,178.1818181818182,nan,nan,nan
40.0,181.8181818181818,nan,nan,nan
40.0,185.45454545454544,nan,nan,nan
40.0,189.0909090909091,nan,nan,nan
40.0,192.72727272727272,nan,nan,nan
40.0,196.36363636363635,nan,nan,nan
40.0,200.0,nan,nan,nan
40.0,203.63636363636363,nan,nan,nan
40.0,207.27272727272725,nan,nan,nan
40.0,210.9090909090909,nan,nan,nan
40.0,214.54545454545453,nan,nan,nan
40.0,218.1818181818182,nan,nan,nan
40.0,221.8181818181818,nan,nan,nan
40.0,225.45454545454544,nan,nan,nan
40.0,229.0909090909091,nan,nan,nan
40.0,232.72727272727272,nan,nan,nan
40.0,236.36363636363635,nan,nan,nan
40.0,240.0,nan,nan,nan
40.0,243.63636363636363,nan,nan,nan
40.0,247.27272727272725,nan,nan,nan
40.0,250.9090909090909,nan,nan,nan
40.0,254.54545454545453,nan,nan,nan
40.0,258.1818181818182,nan,nan,nan
40.0,261.8181818181818,nan,nan,nan
