t_burn (days),nu_burn (degrees),Minimum Relative Velocity (km/s),Time at Minimum Relative Velocity (days),Delta-V at Minimum Relative Velocity (km/s)
-1095.75,0.0,36.55524540984847,298.7455330706079,14.492032322919771
-1095.75,3.6363636363636362,35.54959991921481,319.28302251200137,14.777351881846599
-1095.75,7.2727272727272725,35.51952054814532,319.28302251200137,14.537226669974213
-1095.75,10.909090909090908,34.57616242432365,339.8205119533947,14.818349182562992
-1095.75,14.545454545454545,34.5528342931418,339.8205119533947,14.599208573138174
-1095.75,18.18181818181818,33.66858825924856,360.358001394788,14.872365600066942
-1095.75,21.818181818181817,33.65275672619214,360.358001394788,14.67377929356677
-1095.75,25.454545454545453,32.8240145401689,380.89549083618135,14.939599423107657
-1095.75,29.09090909090909,32.816127811212716,380.89549083618135,14.764762273754387
-1095.75,32.72727272727273,32.81367546927307,380.89549083618135,14.60877356658182
-1095.75,36.36363636363636,32.03952870698523,401.43298027757464,14.885687827822611
-1095.75,40.0,32.04526338026514,401.43298027757464,14.769043434018071
-1095.75,43.63636363636363,32.05634327448999,401.43298027757464,14.684655520114607
-1095.75,47.27272727272727,32.07256514572263,401.43298027757464,14.640504934865831
-1095.75,50.90909090909091,32.09362698238306,401.43298027757464,14.647039730068808
-1095.75,54.54545454545455,32.11898456827561,401.43298027757464,14.717921388052233
-1095.75,58.18181818181818,32.147769364379975,401.43298027757464,14.870970829448355
-1095.75,61.81818181818181,32.973814047342586,380.89549083618135,14.793172264956121
-1095.75,65.45454545454545,33.856225133001395,360.358001394788,14.852475522616817
-1095.75,69.0909090909091,35.77545856412348,319.28302251200137,14.707606448395573
-1095.75,72.72727272727272,37.99830120014207,278.20804362921456,14.663178668859777
-1095.75,76.36363636363636,40.61455107733727,237.13306474642792,14.646965781986856
-1095.75,80.0,43.75792687889936,196.05808586364128,14.54773879939218
-1095.75,83.63636363636364,40.51182381028318,-132.54174519865222,13.233092328404
-1095.75,87.27272727272727,42.001653468304404,-132.54174519865222,11.819511937358143
-1095.75,90.9090909090909,39.79219044718664,-153.07923464004554,14.983465328724483
-1095.75,94.54545454545455,40.855856303152486,-153.07923464004554,13.941009136200202
-1095.75,98.18181818181817,41.78704580017198,-153.07923464004554,13.096748829010746
-1095.75,101.81818181818181,42.60159666794757,-153.07923464004554,12.410972462825784
-1095.75,105.45454545454545,41.71848540522718,-173.61672408143886,14.679822398697409
-1095.75,109.0909090909091,42.37204271935818,-173.61672408143886,14.116826081184298
-1095.75,112.72727272727272,42.97218513226631,-173.61672408143886,13.633034257498688
-1095.75,116.36363636363636,22.292724297343874,832.7202585468348,14.94387866763338
-1095.75,120.0,20.69902538151272,955.9451951951951,14.742596748213288
-1095.75,123.63636363636363,20.804915934780585,955.9451951951951,14.059460156017987
-1095.75,127.27272727272727,20.91097825843075,955.9451951951951,13.455602377239211
-1095.75,130.9090909090909,21.017824025285055,955.9451951951951,12.921424626602349
-1095.75,134.54545454545453,21.12578748940578,955.9451951951951,12.452349159532812
-1095.75,138.1818181818182,21.235005456440817,955.9451951951951,12.047282388533166
-1095.75,141.8181818181818,21.345473325991804,955.9451951951951,11.70750307240609
-1095.75,145.45454545454544,21.457080587392266,955.9451951951951,11.435782393354915
-1095.75,149.0909090909091,21.569637887988986,955.9451951951951,11.235623110786822
-1095.75,152.72727272727272,21.682895369132687,955.9451951951951,11.110568292662245
-1095.75,156.36363636363635,21.79655709779759,955.9451951951951,11.063581159692264
-1095.75,160.0,21.910293530378937,955.9451951951951,11.096533505359156
-1095.75,163.63636363636363,22.023748225706182,955.9451951951951,11.209853864738992
-1095.75,167.27272727272728,22.136545148489727,955.9451951951951,11.402373948087634
-1095.75,170.9090909090909,22.248296267953904,955.9451951951951,11.671378235290328
-1095.75,174.54545454545453,22.35860528865,955.9451951951951,12.012822123690794
-1095.75,178.1818181818182,22.46707117886503,955.9451951951951,12.421655754582313
-1095.75,181.8181818181818,22.57329336257078,955.9451951951951,12.89218326447648
-1095.75,185.45454545454544,22.67687451947404,955.9451951951951,13.41839910809933
-1095.75,189.0909090909091,22.77742486786162,955.9451951951951,13.99426515785708
-1095.75,192.72727272727272,22.874560884842857,955.9451951951951,14.613914617225014
-1095.75,196.36363636363635,23.857557758091097,894.3327268710149,14.966122433315267
-1095.75,200.0,26.363183602246878,750.5703007812615,14.901881333878999
-1095.75,203.63636363636363,29.024570275160347,627.3453641329015,14.918646054797568
-1095.75,207.27272727272725,32.36769923929291,504.12042748454127,14.90577410170681
-1095.75,210.9090909090909,35.96302974661469,401.43298027757464,14.973032926484361
-1095.75,214.54545454545453,40.73806243490324,298.7455330706079,14.995390189138451
-1095.75,218.1818181818182,47.610838014879256,196.05808586364128,14.948416668286052
-1095.75,221.8181818181818,50.13039844473943,-194.15421352283218,10.405310397220063
-1095.75,225.45454545454544,49.03869888389047,-70.92927687447225,12.25506308231259
-1095.75,229.0909090909091,50.320367907374504,-194.15421352283218,10.409334173368041
-1095.75,232.72727272727272,50.40905753309414,-194.15421352283218,10.52049309450548
-1095.75,236.36363636363635,48.41420025789775,-91.46676631586557,10.499673507551634
-1095.75,240.0,50.57454712361748,-194.15421352283218,11.184698651307745
-1095.75,243.63636363636363,50.645528239951155,-194.15421352283218,11.915885934375058
-1095.75,247.27272727272725,46.698762046122894,-112.00425575725889,11.250624081030937
-1095.75,250.9090909090909,50.737458888622584,-173.61672408143886,14.628120796377575
-1095.75,254.54545454545453,44.49061057148929,-132.54174519865222,14.665926979720222
-1095.75,258.1818181818182,47.77824570516895,-132.54174519865222,7.459438391349159
-1095.75,261.8181818181818,45.59164888621775,-153.07923464004554,12.720235799924744
-1095.75,265.45454545454544,46.88273720982645,-153.07923464004554,9.127894659367502
-1095.75,269.09090909090907,46.36338398192625,-173.61672408143886,11.637757312691237
-1095.75,272.7272727272727,46.61730397153156,-194.15421352283218,13.102516134786915
-1095.75,276.3636363636364,47.100768262405516,-194.15421352283218,11.029539797763578
-1095.75,280.0,47.37280450301296,-194.15421352283218,9.524922316895188
-1095.75,283.6363636363636,47.46389299157049,-173.61672408143886,5.979590106566829
-1095.75,287.27272727272725,47.443423631876406,-173.61672408143886,5.313812070994746
-1095.75,290.9090909090909,47.37245368161069,-173.61672408143886,4.779073934118302
-1095.75,294.54545454545456,47.26217302482811,-173.61672408143886,4.353181608162166
-1095.75,298.1818181818182,47.11966924394403,-173.61672408143886,4.027529876780123
-1095.75,301.8181818181818,46.94966978090215,-173.61672408143886,3.80144733339467
-1095.75,305.45454545454544,46.743912162438036,-153.07923464004554,3.327220461793416
-1095.75,309.09090909090907,46.490932800742634,-153.07923464004554,3.605787265891586
-1095.75,312.7272727272727,46.220316972474585,-153.07923464004554,3.9434089561413126
-1095.75,316.3636363636364,45.933005711507654,-153.07923464004554,4.327568843224728
-1095.75,320.0,45.629789134644405,-153.07923464004554,4.748635794358311
-1095.75,323.6363636363636,45.31138643560551,-153.07923464004554,5.199421448378272
-1095.75,327.27272727272725,43.58997530922722,175.52059642224796,14.797953909977409
-1095.75,330.9090909090909,41.27685466896864,216.5955753050346,14.983399054118856
-1095.75,334.54545454545456,41.26545451419487,216.5955753050346,14.529237145595916
-1095.75,338.1818181818182,40.049416508780986,237.13306474642792,14.657816071324959
-1095.75,341.8181818181818,38.86939240652961,257.67055418782127,14.856434643217117
-1095.75,345.45454545454544,38.8302400892925,257.67055418782127,14.516551506065793
-1095.75,349.09090909090907,37.69960449035014,278.20804362921456,14.77304878625817
-1095.75,352.7272727272727,37.66032818622951,278.20804362921456,14.47664717919389
-1095.75,356.3636363636364,36.590923035086014,298.7455330706079,14.756744569563827
-1095.75,360.0,36.555245409848546,298.7455330706079,14.492032322919767
-100.0,0.0,nan,nan,nan
-100.0,3.6363636363636362,nan,nan,nan
-100.0,7.2727272727272725,nan,nan,nan
-100.0,10.909090909090908,nan,nan,nan
-100.0,14.545454545454545,nan,nan,nan
-100.0,18.18181818181818,nan,nan,nan
-100.0,21.818181818181817,nan,nan,nan
-100.0,25.454545454545453,nan,nan,nan
-100.0,29.09090909090909,nan,nan,nan
-100.0,32.72727272727273,nan,nan,nan
-100.0,36.36363636363636,nan,nan,nan
-100.0,40.0,nan,nan,nan
-100.0,43.63636363636363,nan,nan,nan
-100.0,47.27272727272727,nan,nan,nan
-100.0,50.90909090909091,nan,nan,nan
-100.0,54.54545454545455,nan,nan,nan
-100.0,58.18181818181818,nan,nan,nan
-100.0,61.81818181818181,nan,nan,nan
-100.0,65.45454545454545,nan,nan,nan
-100.0,69.0909090909091,nan,nan,nan
-100.0,72.72727272727272,nan,nan,nan
-100.0,76.36363636363636,nan,nan,nan
-100.0,80.0,nan,nan,nan
-100.0,83.63636363636364,nan,nan,nan
-100.0,87.27272727272727,nan,nan,nan
-100.0,90.9090909090909,nan,nan,nan
-100.0,94.54545454545455,nan,nan,nan
-100.0,98.18181818181817,nan,nan,nan
-100.0,101.81818181818181,nan,nan,nan
-100.0,105.45454545454545,nan,nan,nan
-100.0,109.0909090909091,nan,nan,nan
-100.0,112.72727272727272,nan,nan,nan
-100.0,116.36363636363636,nan,nan,nan
-100.0,120.0,nan,nan,nan
-100.0,123.63636363636363,nan,nan,nan
-100.0,127.27272727272727,nan,nan,nan
-100.0,130.9090909090909,nan,nan,nan
-100.0,134.54545454545453,nan,nan,nan
-100.0,138.1818181818182,nan,nan,nan
-100.0,141.8181818181818,nan,nan,nan
-100.0,145.45454545454544,nan,nan,nan
-100.0,149.0909090909091,nan,nan,nan
-100.0,152.72727272727272,nan,nan,nan
-100.0,156.36363636363635,nan,nan,nan
-100.0,160.0,nan,nan,nan
-100.0,163.63636363636363,nan,nan,nan
-100.0,167.27272727272728,nan,nan,nan
-100.0,170.9090909090909,nan,nan,nan
-100.0,174.54545454545453,nan,nan,nan
-100.0,178.1818181818182,nan,nan,nan
-100.0,181.8181818181818,nan,nan,nan
-100.0,185.45454545454544,nan,nan,nan
-100.0,189.0909090909091,nan,nan,nan
-100.0,192.72727272727272,nan,nan,nan
-100.0,196.36363636363635,nan,nan,nan
-100.0,200.0,nan,nan,nan
-100.0,203.63636363636363,nan,nan,nan
-100.0,207.27272727272725,nan,nan,nan
-100.0,210.9090909090909,nan,nan,nan
-100.0,214.54545454545453,nan,nan,nan
-100.0,218.1818181818182,nan,nan,nan
-100.0,221.8181818181818,nan,nan,nan
-100.0,225.45454545454544,nan,nan,nan
-100.0,229.0909090909091,nan,nan,nan
-100.0,232.72727272727272,38.82488774052786,205.7952847742637,14.924059908496432
-100.0,236.36363636363635,38.7250238174061,205.7952847742637,14.884973989345031
